Session: sonuclar23082025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Training Data: T    Observations: 34560;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Predictors: 42    Predictor Names: L_feat_mean; L_feat_std; L_feat_var; L_feat_median; L_feat_mad; L_feat_min; L_feat_max; L_feat_ptp; L_feat_rms; L_feat_energy; L_feat_slope; L_feat_skew; L_feat_kurt; L_feat_ac1; L_feat_ac2; L_feat_spec_centroid; L_feat_spec_spread; L_feat_spec_entropy; L_feat_dom_freq_bin; L_feat_dom_power; L_feat_rolloff85_bin; A_feat_mean; A_feat_std; A_feat_var; A_feat_median; A_feat_mad; A_feat_min; A_feat_max; A_feat_ptp; A_feat_rms; A_feat_energy; A_feat_slope; A_feat_skew; A_feat_kurt; A_feat_ac1; A_feat_ac2; A_feat_spec_centroid; A_feat_spec_spread; A_feat_spec_entropy; A_feat_dom_freq_bin; A_feat_dom_power; A_feat_rolloff85_bin
Response Name: label    Response Classes: 4    Response Class Names: 1;2;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Validation: 5-fold cross-validation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Test Data: T    Observations: 8640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Model Number;Model Type;Preset;Accuracy % (Validation);Total Cost (Validation);Accuracy % (Test);Total Cost (Test);Error Rate % (Validation);Macro Precision % (Validation);Micro Precision % (Validation);Weighted Precision % (Validation);Macro Recall % (Validation);Micro Recall % (Validation);Weighted Recall % (Validation);Macro F1 Score % (Validation);Micro F1 Score % (Validation);Weighted F1 Score % (Validation);Error Rate % (Test);Macro Precision % (Test);Micro Precision % (Test);Weighted Precision % (Test);Macro Recall % (Test);Micro Recall % (Test);Weighted Recall % (Test);Macro F1 Score % (Test);Micro F1 Score % (Test);Weighted F1 Score % (Test);Prediction Speed (obs/sec);Training Time (sec);Model Size (bytes);Hyperparameters;;;;;;;;;;;
2,1;Tree;Fine Tree;99,92;26;99,81;16;0,08;99,92;99,92;99,92;99,92;99,92;99,92;99,92;99,92;99,92;0,19;99,81;99,81;99,81;99,81;99,81;99,81;99,81;99,81;99,81;199460,372;8,06;32005;Maximum number of splits: 100;;;;;;;;;;;
2,2;Tree;Medium Tree;78,41;7460;78,72;1839;21,59;80,16;78,41;80,16;78,41;78,41;78,41;78,26;78,41;78,26;21,28;81,12;78,72;81,12;78,72;78,72;78,72;78,33;78,72;78,33;215682,9461;6,50;16173;Maximum number of splits: 20;;;;;;;;;;;
2,3;Tree;Coarse Tree;49,16;17572;49,95;4324;50,84;52,54;49,16;52,54;49,16;49,16;49,16;48,55;49,16;48,55;50,05;51,67;49,95;51,67;49,95;49,95;49,95;48,66;49,95;48,66;201316,362;4,24;10621;Maximum number of splits: 4;;;;;;;;;;;
4,1;Efficient Logistic Regression;Efficient Logistic Regression;25,00;25920;25,00;6480;75,00;NaN;25,00;NaN;25,00;25,00;25,00;10,00;25,00;10,00;75,00;NaN;25,00;NaN;25,00;25,00;25,00;10,00;25,00;10,00;156643,1944;227,79;108592;Learner: Logistic regression;;;;;;;;;;;
